price,number_of_reviews,,,,,
59,385,,,,,
104,34,,,,,
100,13,,,,,
3,2019/4/7,,,,,
27,17,,,,,
100,185,,,,,
104,56,,,,,
145,87,,,,,
70,45,,,,,
59,398,,,,,
85,38,,,,,
65,78,,,,,
58,319,,,,,
61,122,,,,,
28,19,,,,,
48,5,,,,,
73,160,,,,,
35,34,,,,,
75,128,,,,,
49,192,,,,,
34,0,,,,,
50,0,,,,,
95,141,,,,,
145,22,,,,,
35,26,,,,,
40,30,,,,,
30,37,,,,,
40,40,,,,,
24,21,,,,,
33,43,,,,,
85,21,,,,,
80,118,,,,,
220,317,,,,,
65,41,,,,,
45,218,,,,,
80,229,,,,,
28,1,,,,,
20,162,,,,,
87,131,,,,,
30,0,,,,,
20,22,,,,,
85,233,,,,,
50,232,,,,,
65,197,,,,,
95,51,,,,,
129,122,,,,,
65,4,,,,,
59,361,,,,,
75,49,,,,,
12,4,,,,,
65,36,,,,,
65,8,,,,,
55,165,,,,,
110,159,,,,,
25,108,,,,,
67,218,,,,,
125,134,,,,,
25,469,,,,,
20,188,,,,,
130,3,,,,,
90,24,,,,,
96,6,,,,,
200,14,,,,,
65,12,,,,,
115,177,,,,,
62,32,,,,,
40,532,,,,,
49,76,,,,,
140,68,,,,,
60,1,,,,,
155,50,,,,,
30,16,,,,,
65,26,,,,,
59,96,,,,,
107,43,,,,,
57,121,,,,,
3,2019/8/1,,,,,
68,100,,,,,
95,49,,,,,
70,76,,,,,
48,2,,,,,
140,297,,,,,
60,254,,,,,
40,125,,,,,
49,289,,,,,
31,39,,,,,
40,29,,,,,
55,212,,,,,
80,31,,,,,
70,1,,,,,
64,19,,,,,
100,170,,,,,
30,73,,,,,
70,1,,,,,
25,68,,,,,
75,123,,,,,
28,21,,,,,
32,16,,,,,
24,537,,,,,
140,97,,,,,
42,2,,,,,
40,5,,,,,
105,50,,,,,
38,4,,,,,
50,11,,,,,
19,60,,,,,
19,62,,,,,
90,300,,,,,
69,136,,,,,
61,2,,,,,
80,6,,,,,
60,137,,,,,
39,58,,,,,
75,2,,,,,
61,0,,,,,
200,1,,,,,
221,1,,,,,
75,0,,,,,
61,2,,,,,
72,283,,,,,
55,47,,,,,
19,6,,,,,
120,8,,,,,
120,83,,,,,
30,23,,,,,
50,66,,,,,
49,71,,,,,
135,287,,,,,
89,295,,,,,
132,262,,,,,
90,143,,,,,
35,13,,,,,
20,20,,,,,
60,67,,,,,
130,116,,,,,
94,11,,,,,
80,58,,,,,
120,158,,,,,
45,405,,,,,
68,131,,,,,
66,368,,,,,
120,82,,,,,
150,36,,,,,
220,14,,,,,
73,83,,,,,
72,239,,,,,
37,3,,,,,
105,68,,,,,
48,202,,,,,
95,236,,,,,
26,189,,,,,
82,109,,,,,
70,29,,,,,
59,262,,,,,
79,25,,,,,
90,135,,,,,
350,79,,,,,
40,15,,,,,
25,9,,,,,
35,1,,,,,
185,7,,,,,
60,1,,,,,
205,16,,,,,
27,19,,,,,
60,308,,,,,
65,19,,,,,
55,136,,,,,
90,239,,,,,
198,0,,,,,
44,82,,,,,
18,30,,,,,
70,366,,,,,
85,237,,,,,
69,157,,,,,
74,281,,,,,
33,9,,,,,
37,95,,,,,
30,5,,,,,
30,41,,,,,
30,0,,,,,
80,43,,,,,
65,397,,,,,
42,2,,,,,
94,9,,,,,
85,0,,,,,
46,206,,,,,
30,32,,,,,
30,115,,,,,
70,55,,,,,
80,160,,,,,
24,13,,,,,
30,14,,,,,
70,203,,,,,
101,161,,,,,
34,157,,,,,
22,3,,,,,
75,413,,,,,
65,402,,,,,
45,323,,,,,
90,38,,,,,
75,189,,,,,
150,74,,,,,
148,5,,,,,
33,34,,,,,
95,17,,,,,
30,134,,,,,
76,205,,,,,
69,4,,,,,
50,183,,,,,
55,30,,,,,
130,15,,,,,
99,12,,,,,
230,71,,,,,
30,127,,,,,
30,131,,,,,
76,90,,,,,
74,101,,,,,
75,252,,,,,
50,63,,,,,
85,286,,,,,
25,33,,,,,
45,78,,,,,
58,189,,,,,
24,67,,,,,
75,2,,,,,
70,209,,,,,
35,221,,,,,
50,4,,,,,
17,16,,,,,
40,171,,,,,
85,113,,,,,
15,0,,,,,
26,2,,,,,
510,1,,,,,
79,169,,,,,
85,89,,,,,
50,14,,,,,
80,14,,,,,
118,26,,,,,
44,18,,,,,
60,180,,,,,
150,6,,,,,
62,41,,,,,
30,1,,,,,
32,124,,,,,
53,28,,,,,
69,14,,,,,
29,4,,,,,
72,94,,,,,
22,36,,,,,
57,204,,,,,
78,0,,,,,
40,6,,,,,
45,5,,,,,
91,135,,,,,
140,77,,,,,
80,15,,,,,
21,140,,,,,
51,382,,,,,
70,95,,,,,
94,15,,,,,
35,10,,,,,
84,321,,,,,
16,50,,,,,
90,62,,,,,
75,194,,,,,
200,0,,,,,
77,23,,,,,
60,315,,,,,
72,62,,,,,
150,5,,,,,
25,7,,,,,
90,20,,,,,
1000,15,,,,,
75,194,,,,,
32,72,,,,,
80,0,,,,,
65,46,,,,,
75,100,,,,,
85,55,,,,,
35,19,,,,,
55,6,,,,,
36,302,,,,,
38,305,,,,,
79,221,,,,,
153,93,,,,,
75,176,,,,,
75,186,,,,,
100,14,,,,,
85,29,,,,,
80,47,,,,,
28,6,,,,,
65,1,,,,,
50,106,,,,,
52,123,,,,,
48,6,,,,,
65,317,,,,,
52,399,,,,,
72,424,,,,,
29,7,,,,,
51,73,,,,,
26,81,,,,,
350,1,,,,,
30,4,,,,,
65,53,,,,,
59,299,,,,,
54,16,,,,,
45,144,,,,,
79,31,,,,,
28,31,,,,,
70,274,,,,,
75,35,,,,,
59,118,,,,,
75,14,,,,,
35,36,,,,,
25,107,,,,,
45,107,,,,,
69,52,,,,,
55,172,,,,,
75,150,,,,,
85,356,,,,,
65,500,,,,,
68,1,,,,,
60,236,,,,,
41,18,,,,,
110,27,,,,,
60,0,,,,,
79,204,,,,,
55,15,,,,,
65,89,,,,,
75,39,,,,,
120,71,,,,,
90,28,,,,,
37,21,,,,,
69,29,,,,,
30,1,,,,,
85,286,,,,,
30,2,,,,,
250,20,,,,,
60,0,,,,,
59,158,,,,,
270,31,,,,,
55,246,,,,,
160,23,,,,,
60,17,,,,,
13,20,,,,,
130,18,,,,,
1000,7,,,,,
82,189,,,,,
35,38,,,,,
150,15,,,,,
49,480,,,,,
35,40,,,,,
48,113,,,,,
36,311,,,,,
40,18,,,,,
35,37,,,,,
91,69,,,,,
22,24,,,,,
80,43,,,,,
110,9,,,,,
25,28,,,,,
25,27,,,,,
100,16,,,,,
43,3,,,,,
70,0,,,,,
65,66,,,,,
80,22,,,,,
135,70,,,,,
45,323,,,,,
400,55,,,,,
80,31,,,,,
30,122,,,,,
50,440,,,,,
90,126,,,,,
121,2,,,,,
60,27,,,,,
64,7,,,,,
90,56,,,,,
70,50,,,,,
90,58,,,,,
100,33,,,,,
110,58,,,,,
48,170,,,,,
80,6,,,,,
120,38,,,,,
45,88,,,,,
48,191,,,,,
70,21,,,,,
55,88,,,,,
80,94,,,,,
23,33,,,,,
73,222,,,,,
45,54,,,,,
90,119,,,,,
110,157,,,,,
55,183,,,,,
20,6,,,,,
36,60,,,,,
20,66,,,,,
56,38,,,,,
33,75,,,,,
62,307,,,,,
85,238,,,,,
95,0,,,,,
80,190,,,,,
67,209,,,,,
89,32,,,,,
70,84,,,,,
69,246,,,,,
70,299,,,,,
85,183,,,,,
68,49,,,,,
30,2,,,,,
315,102,,,,,
42,159,,,,,
72,154,,,,,
79,334,,,,,
110,61,,,,,
85,153,,,,,
71,232,,,,,
70,249,,,,,
45,131,,,,,
50,138,,,,,
30,7,,,,,
66,381,,,,,
81,401,,,,,
59,93,,,,,
89,57,,,,,
67,27,,,,,
185,5,,,,,
185,0,,,,,
185,0,,,,,
55,223,,,,,
52,53,,,,,
75,6,,,,,
55,206,,,,,
70,2,,,,,
120,51,,,,,
75,172,,,,,
20,16,,,,,
72,315,,,,,
82,200,,,,,
42,150,,,,,
55,23,,,,,
25,7,,,,,
80,0,,,,,
90,9,,,,,
55,27,,,,,
120,264,,,,,
50,5,,,,,
49,184,,,,,
85,134,,,,,
90,87,,,,,
135,234,,,,,
45,55,,,,,
80,14,,,,,
20,4,,,,,
56,22,,,,,
39,27,,,,,
31,24,,,,,
139,170,,,,,
35,72,,,,,
76,50,,,,,
130,1,,,,,
100,9,,,,,
185,1,,,,,
185,0,,,,,
194,1,,,,,
194,2,,,,,
100,58,,,,,
38,150,,,,,
58,405,,,,,
85,82,,,,,
25,79,,,,,
55,25,,,,,
18,107,,,,,
47,62,,,,,
68,46,,,,,
68,0,,,,,
204,63,,,,,
60,12,,,,,
44,265,,,,,
38,310,,,,,
42,242,,,,,
69,18,,,,,
66,143,,,,,
40,210,,,,,
105,349,,,,,
19,34,,,,,
26,9,,,,,
42,209,,,,,
39,259,,,,,
45,172,,,,,
75,55,,,,,
75,141,,,,,
85,80,,,,,
40,589,,,,,
110,374,,,,,
76,269,,,,,
49,293,,,,,
63,8,,,,,
21,164,,,,,
75,5,,,,,
85,12,,,,,
75,8,,,,,
80,2,,,,,
68,14,,,,,
65,87,,,,,
59,252,,,,,
75,52,,,,,
85,5,,,,,
90,84,,,,,
85,1,,,,,
50,56,,,,,
68,86,,,,,
481,53,,,,,
35,253,,,,,
80,0,,,,,
34,4,,,,,
65,208,,,,,
59,159,,,,,
59,274,,,,,
55,242,,,,,
95,9,,,,,
59,94,,,,,
55,126,,,,,
99,8,,,,,
95,3,,,,,
57,123,,,,,
199,203,,,,,
375,51,,,,,
61,8,,,,,
65,239,,,,,
61,190,,,,,
23,27,,,,,
33,32,,,,,
73,159,,,,,
125,35,,,,,
90,38,,,,,
20,86,,,,,
28,24,,,,,
22,45,,,,,
22,60,,,,,
21,37,,,,,
28,82,,,,,
200,52,,,,,
110,14,,,,,
50,308,,,,,
60,136,,,,,
65,112,,,,,
100,24,,,,,
135,205,,,,,
45,0,,,,,
70,323,,,,,
31,40,,,,,
45,105,,,,,
30,23,,,,,
40,275,,,,,
49,156,,,,,
80,87,,,,,
120,68,,,,,
