date,season,elo1_post
2019/11/24,2019,1629.396017
2019/11/25,2019,1555.808674
2019/11/28,2019,1407.535629
2019/11/28,2019,1537.253977
2019/11/28,2019,1455.62978
2019/12/1,2019,1360.11706
2019/12/1,2019,1389.194491
2019/12/1,2019,1514.901776
2019/12/1,2019,1568.17592
2019/12/1,2019,1442.09346
2019/12/1,2019,1317.896983
2019/12/1,2019,1305.681259
2019/12/1,2019,1713.585922
2019/12/1,2019,1339.959639
2019/12/1,2019,1439.130294
2019/12/1,2019,1619.45468
2019/12/1,2019,1597.709295
2019/12/2,2019,1642.418051
2019/12/5,2019,1560.369816
2019/12/8,2019,1486.090077
2019/12/8,2019,1550.465125
2019/12/8,2019,1507.402382
2019/12/8,2019,1478.491728
2019/12/8,2019,1544.463259
2019/12/8,2019,1621.470466
2019/12/8,2019,1642.471544
2019/12/8,2019,1571.079833
2019/12/8,2019,1375.239523
2019/12/8,2019,1357.834524
2019/12/8,2019,1661.17148
2019/12/8,2019,1395.407682
2019/12/8,2019,1329.779229
2019/12/8,2019,1604.428178
2019/12/9,2019,1515.89883
2019/12/12,2019,1732.840574
2019/12/15,2019,1327.020326
2019/12/15,2019,1372.784595
2019/12/15,2019,1564.703298
2019/12/15,2019,1587.764287
2019/12/15,2019,1407.414543
2019/12/15,2019,1300.508598
2019/12/15,2019,1661.629729
2019/12/15,2019,1334.120264
2019/12/15,2019,1365.291328
2019/12/15,2019,1493.437014
2019/12/15,2019,1373.68224
2019/12/15,2019,1554.960475
2019/12/15,2019,1599.935187
2019/12/15,2019,1550.547851
2019/12/16,2019,1656.843538
2019/12/21,2019,1518.716617
2019/12/21,2019,1680.877424
2019/12/21,2019,1609.709252
2019/12/22,2019,1337.288421
2019/12/22,2019,1526.000556
2019/12/22,2019,1398.014909
2019/12/22,2019,1508.465582
2019/12/22,2019,1542.863113
2019/12/22,2019,1309.88576
2019/12/22,2019,1439.098968
2019/12/22,2019,1459.687014
2019/12/22,2019,1487.042014
2019/12/22,2019,1551.327497
2019/12/22,2019,1570.662276
2019/12/22,2019,1517.344505
2019/12/23,2019,1613.846589
2019/12/29,2019,1354.353423
2019/12/29,2019,1374.103349
2019/12/29,2019,1495.443825
2019/12/29,2019,1321.44102
2019/12/29,2019,1524.787241
2019/12/29,2019,1649.786833
2019/12/29,2019,1694.572097
